x, true, terminal
2.064220183486238647e-01,8.841961448394936593e-04,2.440020812521171791e-06
2.110091743119266172e-01,8.034507450423053433e-04,1.545402626788599590e-06
2.155963302752293698e-01,7.276865548417520363e-04,9.680873279032123811e-07
2.201834862385321223e-01,6.569276160518419932e-04,5.998202201774358639e-07
2.247706422018348749e-01,5.911420419928433518e-04,3.675950252462704240e-07
2.293577981651376274e-01,5.302490160728359856e-04,2.228270104905268091e-07
2.339449541284403800e-01,4.741257820597276243e-04,1.336050773752023751e-07
2.385321100917431325e-01,4.226144800227334521e-04,7.923951441457670005e-08
2.431192660550458851e-01,3.755287057558649093e-04,4.648691774314868538e-08
2.477064220183486376e-01,3.326596954728532041e-04,2.697713496223250221e-08
2.522935779816514179e-01,2.937820608122776586e-04,1.548612318833766333e-08
2.568807339449541427e-01,2.586590210296930200e-04,8.793803995499950115e-09
2.614678899082568675e-01,2.270470991785268513e-04,4.939729038900773462e-09
2.660550458715596478e-01,1.987002667605263526e-04,2.744900249708829508e-09
2.706422018348624281e-01,1.733735365753004897e-04,1.508869475088057119e-09
2.752293577981651529e-01,1.508260162589005393e-04,8.205079365647828340e-10
2.798165137614678777e-01,1.308234453170125581e-04,4.413915684344779488e-10
2.844036697247706580e-01,1.131402464512948553e-04,2.348980096783459715e-10
2.889908256880734383e-01,9.756112782643480404e-05,1.236666037989003235e-10
2.935779816513761631e-01,8.388227684694195816e-05,6.440904851268975559e-11
2.981651376146788879e-01,7.191218824401335264e-05,3.318685355251233344e-11
3.027522935779816682e-01,6.147217005933374519e-05,1.691660692749526463e-11
3.073394495412844485e-01,5.239657069704919972e-05,8.530834439902894297e-12
3.119266055045871733e-01,4.453276882945145102e-05,4.256021366446373137e-12
3.165137614678898981e-01,3.774096580196020410e-05,2.100646338330290867e-12
3.211009174311926784e-01,3.189381748469408145e-05,1.025750275410956196e-12
3.256880733944954587e-01,2.687593943515668293e-05,4.955328958389379722e-13
3.302752293577981835e-01,2.258331592027644063e-05,2.368361350577812708e-13
3.348623853211009083e-01,1.892263992440416969e-05,1.119877305882838089e-13
3.394495412844036886e-01,1.581060784909744761e-05,5.238925301809728338e-14
3.440366972477064689e-01,1.317318927621081802e-05,2.424741471041303578e-14
3.486238532110091937e-01,1.094488898466922282e-05,1.110304877395399949e-14
3.532110091743119185e-01,9.068015433014423081e-06,5.030077154854866555e-15
3.577981651376146988e-01,7.491967179074320433e-06,2.254574434473490823e-15
