x, true, terminal, branch, dgm
-1.303030303030302983e+00,4.508934145697195972e-01,2.645777316194973250e-01,4.532020092010498047e-01,3.764931559562683105e-01
-1.242424242424242431e+00,5.041280948508706228e-01,3.225025225834181053e-01,5.065981149673461914e-01,4.169363975524902344e-01
-1.181818181818181657e+00,5.555116316809234345e-01,3.792430938247314254e-01,5.583404898643493652e-01,4.565555453300476074e-01
-1.121212121212121104e+00,6.048553462326733410e-01,4.345910956443470030e-01,6.072633862495422363e-01,4.948948919773101807e-01
-1.060606060606060552e+00,6.519780498459796236e-01,4.883432918168963965e-01,6.543772220611572266e-01,5.321635603904724121e-01
-1.000000000000000000e+00,6.967067093471653871e-01,5.403023058681397650e-01,6.991173028945922852e-01,5.682594180107116699e-01
-9.393939393939394478e-01,7.388770824217121280e-01,5.902773458355402569e-01,7.409978508949279785e-01,6.029427051544189453e-01
-8.787878787878788955e-01,7.783343207071806713e-01,6.380849048507067911e-01,7.799482941627502441e-01,6.363365054130554199e-01
-8.181818181818183433e-01,8.149335383918167031e-01,6.835494349711863649e-01,8.160856366157531738e-01,6.680840849876403809e-01
-7.575757575757573470e-01,8.485403442309660260e-01,7.265039917873153952e-01,8.495784997940063477e-01,6.980395317077636719e-01
-6.969696969696967948e-01,8.790313350277485505e-01,7.667908474371526450e-01,8.793938755989074707e-01,7.267910242080688477e-01
-6.363636363636362425e-01,9.062945487659478383e-01,8.042620697785241024e-01,9.062620997428894043e-01,7.533016204833984375e-01
-5.757575757575756903e-01,9.302298757312217337e-01,8.387800655914716685e-01,9.294790029525756836e-01,7.778487801551818848e-01
-5.151515151515151381e-01,9.507494261110122080e-01,8.702180858164869637e-01,9.489334821701049805e-01,8.002621531486511230e-01
-4.545454545454545858e-01,9.677778527233372730e-01,8.984606909733078295e-01,9.644870758056640625e-01,8.206232190132141113e-01
-3.939393939393940336e-01,9.812526276894137922e-01,9.234041750512754776e-01,9.769186973571777344e-01,8.383954763412475586e-01
-3.333333333333330373e-01,9.911242720341794099e-01,9.449569463147378112e-01,9.860996007919311523e-01,8.541677594184875488e-01
-2.727272727272724850e-01,9.973565373716243299e-01,9.630398636251923383e-01,9.928253889083862305e-01,8.667251467704772949e-01
-2.121212121212119328e-01,9.999265390077934912e-01,9.775865270452068767e-01,9.964521527290344238e-01,8.770750164985656738e-01
-1.515151515151513806e-01,9.988248399727049920e-01,9.885435216570247485e-01,9.966955184936523438e-01,8.841892480850219727e-01
-9.090909090909082835e-02,9.940554856726250277e-01,9.958706137005628456e-01,9.926096796989440918e-01,8.885391354560852051e-01
-3.030303030303027612e-02,9.856359890354556841e-01,9.995408983105884548e-01,9.843600392341613770e-01,8.897720575332641602e-01
3.030303030303027612e-02,9.735972662037820635e-01,9.995408983105884548e-01,9.721895456314086914e-01,8.880667686462402344e-01
9.090909090909082835e-02,9.579835230117104139e-01,9.958706137005628456e-01,9.564291834831237793e-01,8.827301263809204102e-01
1.515151515151513806e-01,9.388520926623541429e-01,9.885435216570247485e-01,9.374645948410034180e-01,8.740605115890502930e-01
2.121212121212123769e-01,9.162732252020068247e-01,9.775865270452067657e-01,9.150173068046569824e-01,8.621821403503417969e-01
2.727272727272729291e-01,8.903298295640519333e-01,9.630398636251921163e-01,8.889907598495483398e-01,8.464908599853515625e-01
3.333333333333334814e-01,8.611171691298102893e-01,9.449569463147375892e-01,8.593255877494812012e-01,8.272568583488464355e-01
3.939393939393940336e-01,8.287425119242229909e-01,9.234041750512754776e-01,8.260759115219116211e-01,8.046437501907348633e-01
4.545454545454545858e-01,7.933247367308369213e-01,8.984606909733078295e-01,7.898948788642883301e-01,7.784506082534790039e-01
5.151515151515151381e-01,7.549938965724283246e-01,8.702180858164869637e-01,7.503401637077331543e-01,7.489465475082397461e-01
5.757575757575756903e-01,7.138907411601500552e-01,8.387800655914716685e-01,7.090524435043334961e-01,7.158657312393188477e-01
6.363636363636366866e-01,6.701662000647559125e-01,8.042620697785237693e-01,6.665214300155639648e-01,6.798549890518188477e-01
6.969696969696972388e-01,6.239808285076826611e-01,7.667908474371523120e-01,6.214972734451293945e-01,6.404386758804321289e-01
7.575757575757577911e-01,5.755042178070249870e-01,7.265039917873150621e-01,5.751877427101135254e-01,5.978027582168579102e-01
8.181818181818183433e-01,5.249143726432332624e-01,6.835494349711863649e-01,5.256965756416320801e-01,5.533996820449829102e-01
